          table_name          |            column_name            |        data_type         |  udt_name   
------------------------------+-----------------------------------+--------------------------+-------------
 access_grants_archived       | id                                | uuid                     | uuid
 access_grants_archived       | organization_id                   | uuid                     | uuid
 access_grants_archived       | role_id                           | uuid                     | uuid
 access_grants_archived       | system_id                         | uuid                     | uuid
 access_grants_archived       | created_at                        | timestamp with time zone | timestamptz
 access_grants_archived       | user_id                           | text                     | text
 accounts                     | id                                | text                     | text
 accounts                     | user_id                           | text                     | text
 accounts                     | type                              | text                     | text
 accounts                     | provider                          | text                     | text
 accounts                     | provider_account_id               | text                     | text
 accounts                     | refresh_token                     | text                     | text
 accounts                     | access_token                      | text                     | text
 accounts                     | expires_at                        | integer                  | int4
 accounts                     | token_type                        | text                     | text
 accounts                     | scope                             | text                     | text
 accounts                     | id_token                          | text                     | text
 accounts                     | session_state                     | text                     | text
 accounts                     | oauth_token_secret                | text                     | text
 accounts                     | oauth_token                       | text                     | text
 accounts                     | created_at                        | timestamp with time zone | timestamptz
 accounts                     | updated_at                        | timestamp with time zone | timestamptz
 accounts                     | id_uuid                           | uuid                     | uuid
 accounts                     | user_id_uuid                      | uuid                     | uuid
 ai_agent_audit_log           | id                                | uuid                     | uuid
 ai_agent_audit_log           | organization_id                   | uuid                     | uuid
 ai_agent_audit_log           | changed_by                        | uuid                     | uuid
 ai_agent_audit_log           | change_type                       | text                     | text
 ai_agent_audit_log           | old_config                        | jsonb                    | jsonb
 ai_agent_audit_log           | new_config                        | jsonb                    | jsonb
 ai_agent_audit_log           | change_reason                     | text                     | text
 ai_agent_audit_log           | created_at                        | timestamp with time zone | timestamptz
 ai_configs                   | id                                | uuid                     | uuid
 ai_configs                   | organization_id                   | uuid                     | uuid
 ai_configs                   | config                            | jsonb                    | jsonb
 ai_configs                   | updated_by                        | uuid                     | uuid
 ai_configs                   | created_at                        | timestamp with time zone | timestamptz
 ai_configs                   | updated_at                        | timestamp with time zone | timestamptz
 ai_runs                      | id                                | uuid                     | uuid
 ai_runs                      | call_id                           | uuid                     | uuid
 ai_runs                      | system_id                         | uuid                     | uuid
 ai_runs                      | model                             | text                     | text
 ai_runs                      | status                            | text                     | text
 ai_runs                      | started_at                        | timestamp with time zone | timestamptz
 ai_runs                      | completed_at                      | timestamp with time zone | timestamptz
 ai_runs                      | output                            | jsonb                    | jsonb
 ai_runs                      | is_deleted                        | boolean                  | bool
 ai_runs                      | deleted_at                        | timestamp with time zone | timestamptz
 ai_runs                      | deleted_by                        | uuid                     | uuid
 ai_runs                      | is_authoritative                  | boolean                  | bool
 ai_runs                      | produced_by                       | text                     | text
 ai_runs                      | job_id                            | text                     | text
 ai_runs                      | error                             | text                     | text
 ai_runs                      | assemblyai_status                 | text                     | text
 ai_runs                      | organization_id                   | uuid                     | uuid
 ai_runs                      | purpose                           | text                     | text
 ai_runs                      | input                             | jsonb                    | jsonb
 ai_runs                      | created_at                        | timestamp with time zone | timestamptz
 ai_runs                      | updated_at                        | timestamp with time zone | timestamptz
 ai_summaries                 | id                                | uuid                     | uuid
 ai_summaries                 | call_id                           | uuid                     | uuid
 ai_summaries                 | organization_id                   | uuid                     | uuid
 ai_summaries                 | summary_text                      | text                     | text
 ai_summaries                 | topics_discussed                  | jsonb                    | jsonb
 ai_summaries                 | potential_agreements              | jsonb                    | jsonb
 ai_summaries                 | potential_concerns                | jsonb                    | jsonb
 ai_summaries                 | recommended_followup              | jsonb                    | jsonb
 ai_summaries                 | confidence_score                  | numeric                  | numeric
 ai_summaries                 | model_used                        | text                     | text
 ai_summaries                 | generated_by_user_id              | text                     | text
 ai_summaries                 | review_status                     | text                     | text
 ai_summaries                 | input_length                      | integer                  | int4
 ai_summaries                 | created_at                        | timestamp with time zone | timestamptz
 ai_summaries                 | updated_at                        | timestamp with time zone | timestamptz
 alert_acknowledgements       | id                                | uuid                     | uuid
 alert_acknowledgements       | alert_id                          | uuid                     | uuid
 alert_acknowledgements       | acknowledged_at                   | timestamp with time zone | timestamptz
 alert_acknowledgements       | acknowledgement_message           | text                     | text
 alert_acknowledgements       | created_at                        | timestamp with time zone | timestamptz
 alert_acknowledgements       | user_id                           | text                     | text
 alerts                       | id                                | uuid                     | uuid
 alerts                       | organization_id                   | uuid                     | uuid
 alerts                       | test_config_id                    | uuid                     | uuid
 alerts                       | rule                              | jsonb                    | jsonb
 alerts                       | enabled                           | boolean                  | bool
 alerts                       | last_triggered                    | timestamp with time zone | timestamptz
 api_keys                     | id                                | uuid                     | uuid
 api_keys                     | organization_id                   | uuid                     | uuid
 api_keys                     | key_hash                          | text                     | text
 api_keys                     | name                              | text                     | text
 api_keys                     | permissions                       | jsonb                    | jsonb
 api_keys                     | last_used_at                      | timestamp with time zone | timestamptz
 api_keys                     | expires_at                        | timestamp with time zone | timestamptz
 api_keys                     | revoked_at                        | timestamp with time zone | timestamptz
 api_keys                     | created_at                        | timestamp with time zone | timestamptz
 api_keys                     | updated_at                        | timestamp with time zone | timestamptz
 artifact_provenance          | id                                | uuid                     | uuid
 artifact_provenance          | organization_id                   | uuid                     | uuid
 artifact_provenance          | artifact_type                     | text                     | text
 artifact_provenance          | artifact_id                       | uuid                     | uuid
 artifact_provenance          | parent_artifact_id                | uuid                     | uuid
 artifact_provenance          | parent_artifact_type              | text                     | text
 artifact_provenance          | produced_by                       | text                     | text
 artifact_provenance          | produced_by_model                 | text                     | text
 artifact_provenance          | produced_by_user_id               | uuid                     | uuid
 artifact_provenance          | produced_by_system_id             | uuid                     | uuid
 artifact_provenance          | produced_at                       | timestamp with time zone | timestamptz
 artifact_provenance          | input_refs                        | jsonb                    | jsonb
 artifact_provenance          | version                           | integer                  | int4
 artifact_provenance          | metadata                          | jsonb                    | jsonb
 artifact_provenance          | created_at                        | timestamp with time zone | timestamptz
 artifacts                    | type                              | text                     | text
 artifacts                    | title                             | text                     | text
 artifacts                    | organization_id                   | uuid                     | uuid
 artifacts                    | created_at                        | timestamp with time zone | timestamptz
 artifacts                    | updated_at                        | timestamp with time zone | timestamptz
 artifacts                    | storage_path                      | text                     | text
 artifacts                    | provenance                        | jsonb                    | jsonb
 artifacts                    | id_uuid                           | uuid                     | uuid
 artifacts                    | id                                | uuid                     | uuid
 attention_decisions          | id                                | uuid                     | uuid
 attention_decisions          | organization_id                   | uuid                     | uuid
 attention_decisions          | attention_event_id                | uuid                     | uuid
 attention_decisions          | decision                          | text                     | text
 attention_decisions          | reason                            | text                     | text
 attention_decisions          | policy_id                         | uuid                     | uuid
 attention_decisions          | confidence                        | integer                  | int4
 attention_decisions          | uncertainty_notes                 | text                     | text
 attention_decisions          | produced_by                       | text                     | text
 attention_decisions          | produced_by_model                 | text                     | text
 attention_decisions          | produced_by_user_id               | uuid                     | uuid
 attention_decisions          | input_refs                        | jsonb                    | jsonb
 attention_decisions          | created_at                        | timestamp with time zone | timestamptz
 attention_events             | id                                | uuid                     | uuid
 attention_events             | organization_id                   | uuid                     | uuid
 attention_events             | event_type                        | text                     | text
 attention_events             | source_table                      | text                     | text
 attention_events             | source_id                         | uuid                     | uuid
 attention_events             | occurred_at                       | timestamp with time zone | timestamptz
 attention_events             | payload_snapshot                  | jsonb                    | jsonb
 attention_events             | input_refs                        | jsonb                    | jsonb
 attention_events             | created_at                        | timestamp with time zone | timestamptz
 attention_policies           | id                                | uuid                     | uuid
 attention_policies           | organization_id                   | uuid                     | uuid
 attention_policies           | name                              | text                     | text
 attention_policies           | description                       | text                     | text
 attention_policies           | policy_type                       | text                     | text
 attention_policies           | policy_config                     | jsonb                    | jsonb
 attention_policies           | priority                          | integer                  | int4
 attention_policies           | is_enabled                        | boolean                  | bool
 attention_policies           | created_by                        | uuid                     | uuid
 attention_policies           | created_at                        | timestamp with time zone | timestamptz
 attention_policies           | updated_at                        | timestamp with time zone | timestamptz
 audio_files                  | id                                | uuid                     | uuid
 audio_files                  | organization_id                   | uuid                     | uuid
 audio_files                  | file_key                          | text                     | text
 audio_files                  | original_name                     | text                     | text
 audio_files                  | content_type                      | text                     | text
 audio_files                  | size_bytes                        | integer                  | int4
 audio_files                  | duration_seconds                  | integer                  | int4
 audio_files                  | created_by                        | uuid                     | uuid
 audio_files                  | created_at                        | timestamp with time zone | timestamptz
 audio_injections             | id                                | uuid                     | uuid
 audio_injections             | call_id                           | uuid                     | uuid
 audio_injections             | segment_index                     | integer                  | int4
 audio_injections             | audio_url                         | text                     | text
 audio_injections             | duration_ms                       | integer                  | int4
 audio_injections             | target_call_control_id            | text                     | text
 audio_injections             | organization_id                   | uuid                     | uuid
 audio_injections             | status                            | text                     | text
 audio_injections             | playback_id                       | text                     | text
 audio_injections             | error_message                     | text                     | text
 audio_injections             | created_at                        | timestamp with time zone | timestamptz
 audio_injections             | updated_at                        | timestamp with time zone | timestamptz
 audio_injections             | completed_at                      | timestamp with time zone | timestamptz
 audit_logs                   | id                                | uuid                     | uuid
 audit_logs                   | organization_id                   | uuid                     | uuid
 audit_logs                   | system_id                         | uuid                     | uuid
 audit_logs                   | resource_type                     | text                     | text
 audit_logs                   | resource_id                       | text                     | text
 audit_logs                   | action                            | text                     | text
 audit_logs                   | old_value                         | jsonb                    | jsonb
 audit_logs                   | new_value                         | jsonb                    | jsonb
 audit_logs                   | created_at                        | timestamp with time zone | timestamptz
 audit_logs                   | actor_type                        | text                     | text
 audit_logs                   | actor_label                       | text                     | text
 audit_logs                   | metadata                          | jsonb                    | jsonb
 audit_logs                   | user_id                           | text                     | text
 auth_providers               | id                                | uuid                     | uuid
 auth_providers               | organization_id                   | uuid                     | uuid
 auth_providers               | provider                          | text                     | text
 auth_providers               | enabled                           | boolean                  | bool
 auth_providers               | client_id                         | text                     | text
 auth_providers               | client_secret_hash                | text                     | text
 auth_providers               | config                            | jsonb                    | jsonb
 auth_providers               | created_at                        | timestamp with time zone | timestamptz
 auth_providers               | updated_at                        | timestamp with time zone | timestamptz
 billing_events               | id                                | uuid                     | uuid
 billing_events               | organization_id                   | uuid                     | uuid
 billing_events               | event_type                        | text                     | text
 billing_events               | amount                            | integer                  | int4
 billing_events               | invoice_id                        | text                     | text
 billing_events               | stripe_event_id                   | text                     | text
 billing_events               | metadata                          | jsonb                    | jsonb
 billing_events               | created_at                        | timestamp with time zone | timestamptz
 bond_ai_alert_rules          | id                                | uuid                     | uuid
 bond_ai_alert_rules          | organization_id                   | uuid                     | uuid
 bond_ai_alert_rules          | name                              | text                     | text
 bond_ai_alert_rules          | description                       | text                     | text
 bond_ai_alert_rules          | rule_type                         | text                     | text
 bond_ai_alert_rules          | rule_config                       | jsonb                    | jsonb
 bond_ai_alert_rules          | severity                          | text                     | text
 bond_ai_alert_rules          | notification_channels             | jsonb                    | jsonb
 bond_ai_alert_rules          | is_enabled                        | boolean                  | bool
 bond_ai_alert_rules          | cooldown_minutes                  | integer                  | int4
 bond_ai_alert_rules          | last_triggered_at                 | timestamp with time zone | timestamptz
 bond_ai_alert_rules          | created_by                        | uuid                     | uuid
 bond_ai_alert_rules          | created_at                        | timestamp with time zone | timestamptz
 bond_ai_alert_rules          | updated_at                        | timestamp with time zone | timestamptz
 bond_ai_alerts               | id                                | uuid                     | uuid
 bond_ai_alerts               | organization_id                   | uuid                     | uuid
 bond_ai_alerts               | rule_id                           | uuid                     | uuid
 bond_ai_alerts               | alert_type                        | text                     | text
 bond_ai_alerts               | severity                          | text                     | text
 bond_ai_alerts               | title                             | text                     | text
 bond_ai_alerts               | message                           | text                     | text
 bond_ai_alerts               | context_data                      | jsonb                    | jsonb
 bond_ai_alerts               | source_table                      | text                     | text
 bond_ai_alerts               | source_id                         | uuid                     | uuid
 bond_ai_alerts               | status                            | text                     | text
 bond_ai_alerts               | acknowledged_by                   | uuid                     | uuid
 bond_ai_alerts               | acknowledged_at                   | timestamp with time zone | timestamptz
 bond_ai_alerts               | created_at                        | timestamp with time zone | timestamptz
 bond_ai_conversations        | id                                | uuid                     | uuid
 bond_ai_conversations        | organization_id                   | uuid                     | uuid
 bond_ai_conversations        | title                             | text                     | text
 bond_ai_conversations        | context_type                      | text                     | text
 bond_ai_conversations        | context_id                        | uuid                     | uuid
 bond_ai_conversations        | model                             | text                     | text
 bond_ai_conversations        | status                            | text                     | text
 bond_ai_conversations        | message_count                     | integer                  | int4
 bond_ai_conversations        | last_message_at                   | timestamp with time zone | timestamptz
 bond_ai_conversations        | created_at                        | timestamp with time zone | timestamptz
 bond_ai_conversations        | updated_at                        | timestamp with time zone | timestamptz
 bond_ai_conversations        | user_id                           | text                     | text
 bond_ai_messages             | id                                | uuid                     | uuid
 bond_ai_messages             | conversation_id                   | uuid                     | uuid
 bond_ai_messages             | role                              | text                     | text
 bond_ai_messages             | content                           | text                     | text
 bond_ai_messages             | tool_calls                        | jsonb                    | jsonb
 bond_ai_messages             | token_usage                       | jsonb                    | jsonb
 bond_ai_messages             | model                             | text                     | text
 bond_ai_messages             | latency_ms                        | integer                  | int4
 bond_ai_messages             | created_at                        | timestamp with time zone | timestamptz
 booking_events               | id                                | uuid                     | uuid
 booking_events               | organization_id                   | uuid                     | uuid
 booking_events               | call_id                           | uuid                     | uuid
 booking_events               | title                             | text                     | text
 booking_events               | description                       | text                     | text
 booking_events               | start_time                        | timestamp with time zone | timestamptz
 booking_events               | end_time                          | timestamp with time zone | timestamptz
 booking_events               | duration_minutes                  | integer                  | int4
 booking_events               | timezone                          | text                     | text
 booking_events               | attendee_name                     | text                     | text
 booking_events               | attendee_email                    | text                     | text
 booking_events               | attendee_phone                    | text                     | text
 booking_events               | status                            | text                     | text
 booking_events               | reminder_sent                     | boolean                  | bool
 booking_events               | modulations                       | jsonb                    | jsonb
 booking_events               | notes                             | text                     | text
 booking_events               | created_at                        | timestamp with time zone | timestamptz
 booking_events               | updated_at                        | timestamp with time zone | timestamptz
 booking_events               | created_by                        | uuid                     | uuid
 booking_events               | from_number                       | text                     | text
 booking_events               | user_id                           | text                     | text
 call_confirmation_checklists | id                                | uuid                     | uuid
 call_confirmation_checklists | call_id                           | uuid                     | uuid
 call_confirmation_checklists | template_id                       | uuid                     | uuid
 call_confirmation_checklists | organization_id                   | uuid                     | uuid
 call_confirmation_checklists | status                            | text                     | text
 call_confirmation_checklists | confirmation_id                   | uuid                     | uuid
 call_confirmation_checklists | skip_reason                       | text                     | text
 call_confirmation_checklists | created_at                        | timestamp with time zone | timestamptz
 call_confirmation_checklists | updated_at                        | timestamp with time zone | timestamptz
 call_confirmations           | id                                | uuid                     | uuid
 call_confirmations           | call_id                           | uuid                     | uuid
 call_confirmations           | organization_id                   | uuid                     | uuid
 call_confirmations           | confirmation_type                 | text                     | text
 call_confirmations           | confirmation_label                | text                     | text
 call_confirmations           | prompt_text                       | text                     | text
 call_confirmations           | confirmer_role                    | text                     | text
 call_confirmations           | confirmed_at                      | timestamp with time zone | timestamptz
 call_confirmations           | recording_timestamp_seconds       | numeric                  | numeric
 call_confirmations           | captured_by                       | text                     | text
 call_confirmations           | captured_by_user_id               | uuid                     | uuid
 call_confirmations           | verification_method               | text                     | text
 call_confirmations           | notes                             | text                     | text
 call_confirmations           | created_at                        | timestamp with time zone | timestamptz
 call_confirmations           | updated_at                        | timestamp with time zone | timestamptz
 call_export_bundles          | id                                | uuid                     | uuid
 call_export_bundles          | organization_id                   | uuid                     | uuid
 call_export_bundles          | call_id                           | uuid                     | uuid
 call_export_bundles          | bundle_hash                       | text                     | text
 call_export_bundles          | artifacts_included                | jsonb                    | jsonb
 call_export_bundles          | storage_path                      | text                     | text
 call_export_bundles          | exported_by                       | uuid                     | uuid
 call_export_bundles          | exported_at                       | timestamp with time zone | timestamptz
 call_export_bundles          | expires_at                        | timestamp with time zone | timestamptz
 call_export_bundles          | download_count                    | integer                  | int4
 call_export_bundles          | metadata                          | jsonb                    | jsonb
 call_notes                   | id                                | uuid                     | uuid
 call_notes                   | call_id                           | uuid                     | uuid
 call_notes                   | organization_id                   | uuid                     | uuid
 call_notes                   | tags                              | ARRAY                    | _text
 call_notes                   | note                              | text                     | text
 call_notes                   | created_by                        | uuid                     | uuid
 call_notes                   | created_at                        | timestamp with time zone | timestamptz
 call_notes                   | updated_at                        | timestamp with time zone | timestamptz
 call_outcome_history         | id                                | uuid                     | uuid
 call_outcome_history         | call_outcome_id                   | uuid                     | uuid
 call_outcome_history         | outcome_status                    | text                     | text
 call_outcome_history         | summary_text                      | text                     | text
 call_outcome_history         | revision_number                   | integer                  | int4
 call_outcome_history         | changed_by_user_id                | text                     | text
 call_outcome_history         | created_at                        | timestamp with time zone | timestamptz
 call_outcomes                | id                                | uuid                     | uuid
 call_outcomes                | call_id                           | uuid                     | uuid
 call_outcomes                | organization_id                   | uuid                     | uuid
 call_outcomes                | outcome_status                    | text                     | text
 call_outcomes                | confidence_level                  | text                     | text
 call_outcomes                | agreed_items                      | jsonb                    | jsonb
 call_outcomes                | declined_items                    | jsonb                    | jsonb
 call_outcomes                | ambiguities                       | jsonb                    | jsonb
 call_outcomes                | follow_up_actions                 | jsonb                    | jsonb
 call_outcomes                | summary_text                      | text                     | text
 call_outcomes                | summary_source                    | text                     | text
 call_outcomes                | readback_confirmed                | boolean                  | bool
 call_outcomes                | readback_timestamp                | timestamp with time zone | timestamptz
 call_outcomes                | declared_by_user_id               | text                     | text
 call_outcomes                | revision_number                   | integer                  | int4
 call_outcomes                | created_at                        | timestamp with time zone | timestamptz
 call_outcomes                | updated_at                        | timestamp with time zone | timestamptz
 call_sentiment_scores        | id                                | uuid                     | uuid
 call_sentiment_scores        | organization_id                   | uuid                     | uuid
 call_sentiment_scores        | call_id                           | uuid                     | uuid
 call_sentiment_scores        | segment_index                     | integer                  | int4
 call_sentiment_scores        | transcript_text                   | text                     | text
 call_sentiment_scores        | score                             | numeric                  | numeric
 call_sentiment_scores        | objections                        | jsonb                    | jsonb
 call_sentiment_scores        | escalation_recommended            | boolean                  | bool
 call_sentiment_scores        | model_used                        | text                     | text
 call_sentiment_scores        | latency_ms                        | integer                  | int4
 call_sentiment_scores        | created_at                        | timestamp with time zone | timestamptz
 call_sentiment_summary       | call_id                           | uuid                     | uuid
 call_sentiment_summary       | organization_id                   | uuid                     | uuid
